01302	04302
01302	03506
02741	04896
00921	00415
09332	00101
00061	00016
01646	01931
00826	00079
15811	15812
00254	00166
00254	00251
04501	00043
05512	00262
00559	00147
00387	00242
00330	00242
00294	00262
00212	00147
11811	00235
11811	00129
06156	04501
00392	00644
00031	00668
05898	04574
00459	00039
00039	00459
00039	00458
00039	00286
00039	00131
00993	04882
00993	04702
05892	04702
04877	04882
00692	04877
01212	00692
00669	00051
00014	00020
01643	02988
01648	03511
01636	02163
01640	02282
01641	02987
01639	03125
01642	02412
01638	02984
16636	06481
01650	02553
01647	02430
01651	02992
01652	03512
00620	00117
04916	04677
04916	04666
04896	04916
00668	00031
00668	05345
00668	01172
00217	00692
00217	00025
11453	11811
04823	04677
03794	00122
03794	00020
00062	02163
03406	00062
03406	00122
01528	00033
01528	05688
00944	02637
00188	02992
02631	04411
02631	02504
02226	06032
02226	02612
02612	02226
03506	01302
03506	00078
03506	00463
00078	03512
00078	03506
00463	03506
00463	00078
00631	00197
00631	00074
00251	00254
00251	00108
02504	02631
04691	00944
00577	01094
01094	00111
01094	00577
00111	00118
00111	01094
00111	00447
00111	05378
00047	01931
00680	04877
00680	00666
00680	00047
01260	00008
01304	01268
00460	00365
00458	00039
00458	00460
00075	00046
00075	00063
00063	00046
00063	00075
00445	00234
00445	00143
00666	00680
00437	00077
05729	05726
05729	00037
00097	15812
00097	00669
00097	03125
01419	00037
01419	00097
04666	01267
05897	05898
04882	05897
04882	00105
17556	05897
17556	00105
17556	04851
00105	00015
04851	05893
04702	00105
04702	04851
00046	00075
00046	00063
00046	00044
00046	00002
00046	00112
00046	00035
00046	00015
00046	00008
00059	00224
01081	00068
00363	00364
00362	00361
00360	00206
00197	00631
00197	00236
00033	00227
11436	11453
11435	11436
00286	00039
00131	00039
00131	00206
00044	00046
00044	01304
00044	00035
00002	00046
00002	00008
00074	00631
00074	04691
00074	00022
01102	00188
00263	00441
00263	01102
00224	00053
05378	00118
05378	00111
04421	00666
04421	04462
00352	06156
00064	00169
00064	02282
00064	00352
01267	01100
01100	00860
01100	01267
00079	03511
00079	00166
00166	00254
00166	00079
04574	17556
04574	00009
11356	04574
01269	00251
01269	03175
03175	01269
00750	00315
00315	00750
00134	00315
00170	03089
01137	00750
01137	00315
01137	00170
00129	00448
00448	11356
00341	00448
15556	04332
00255	00061
04732	04332
04332	00255
04332	04732
00066	04432
00235	04432
00043	05898
00043	04631
00019	01137
00108	04302
04302	01302
04302	00119
04302	00108
02739	02741
02739	00119
00119	00117
00119	04302
00119	02739
00119	01103
01103	00105
01103	00295
01103	00119
00242	00387
00242	00330
00242	00144
00262	00294
00262	00130
00147	00559
00147	00212
00147	00020
00020	00008
00020	00147
04462	04421
00091	16254
00979	05688
00979	00033
00979	00097
00979	00065
00227	00033
00227	00024
00024	02504
00024	16255
00024	00227
00624	04133
00025	00669
00025	02987
00025	00217
00025	00624
00117	00620
00117	00199
00117	00119
00117	00118
00117	05382
05382	07836
05382	05345
05382	00279
05382	00117
05382	00231
00279	04691
00279	00447
00279	05382
00279	00118
00279	05345
00231	00199
00231	05345
00231	00118
00231	05382
00085	00352
00085	00279
00085	00231
00327	03406
00077	00327
00049	03082
00049	03406
00049	03794
00049	02984
00049	00438
00438	00337
00169	00327
00169	00438
00141	02504
00141	00966
02430	03294
02430	00101
00234	00445
00234	03294
00234	00101
04677	04823
04677	04734
04734	00130
00065	06481
00065	02553
00065	00078
00065	00979
00065	00143
00065	00037
00037	00051
00037	02412
00037	00065
00364	00363
00365	01346
00365	00364
00073	02430
00073	00019
00155	00073
00112	00046
00112	00705
00112	00343
00361	00362
00361	00286
00035	00046
00035	00144
00035	00044
00035	00361
00015	00105
00015	00046
00015	01346
00015	00343
01346	00365
00206	00360
00206	00131
00008	00046
00008	00020
00008	00002
00008	00206
00053	00094
00342	00705
00342	01346
00342	00343
00343	00342
15973	16254
15973	16255
15973	15972
00283	00033
00283	00097
00094	00283
00130	03794
00130	00262
00130	04734
00144	00035
00144	00242
00144	00130
00143	00445
00143	00101
00143	00065
00143	00415
00143	00440
00504	00415
00504	00101
00101	09332
00101	00234
00101	00143
00101	00415
00415	00143
00415	00504
00415	00101
00295	01103
00295	00337
00337	00438
00337	00295
03340	03972
03972	04462
03972	03340
16254	00091
16254	15973
00026	05381
05381	00068
05381	16254
15972	15973
15972	16254
15972	00068
15972	16255
16255	00024
16255	15973
00068	05381
00068	05125
05125	06006
05125	00900
05125	00068
05125	16255
00022	11437
00022	06010
00022	00900
00022	05125
04133	01250
00236	00197
00236	00118
00118	00111
00118	11437
00118	05378
00118	00354
00118	05345
00118	00117
00118	00279
00118	00231
00118	00236
00441	00263
00441	03340
03082	00441
11434	11435
11437	11434
01268	04454
01050	01212
04631	01050
06010	04181
06006	14463
14463	06006
14463	06007
06007	00671
06007	14463
04181	06010
04181	04272
04272	00141
04272	04181
04039	00141
00900	04039
04236	04411
04411	02631
04411	04236
00109	06006
06032	02226
06032	00109
01236	00345
01172	05345
01172	00668
01172	01236
00199	15556
00199	00117
00199	00231
00345	01236
00345	00199
02637	00944
02637	00493
00493	03175
00493	02637
00860	01929
00135	02988
01929	00135
05345	01172
05345	00668
05345	05378
05345	00118
05345	05382
05345	00231
05345	00279
05345	00644
00644	05345
